country1,country2,p_dist
Chuvash,North_Morocco,0.013829606093908672
Crete,North_Morocco,0.014358042200983407
Denmark,North_Morocco,0.009566357970970673
Dodecanese,North_Morocco,0.01531383067343138
Druze,North_Morocco,0.021501377592997285
Rumelia,North_Morocco,0.013936916377140807
Egypt,North_Morocco,0.017104808399553372
Finland,North_Morocco,0.01007100329625134
France,North_Morocco,0.009015102660311906
Hungary,North_Morocco,0.011676984100461784
Ireland,North_Morocco,0.007925848757478992
Italy,North_Morocco,0.010774230696642318
Libya,North_Morocco,0.012444420542754062
Macedonia,North_Morocco,0.012826531742378966
Mozabite,North_Morocco,0.009725792865438574
North_Morocco,North_Morocco,0.3141055076937763
Palestinian,North_Morocco,0.019936667519454263
Peloponnese,North_Morocco,0.01342216607142897
Russia,North_Morocco,0.009408832533864575
Sahara,North_Morocco,0.010176129920738531
Sardinia,North_Morocco,0.010215036820910494
SE_Laconia,North_Morocco,0.003932656456541889
Serbia,North_Morocco,0.012250063951141846
Sicily,North_Morocco,0.011298859200010176
South_Morocco,North_Morocco,0.3141055076937763
Tunisia,North_Morocco,0.010364880115207847
Tuscany,North_Morocco,0.010460210473822416
Yemenite,North_Morocco,0.020596307751508773
Algeria,Palestinian,0.008668236294396264
Basque,Palestinian,0.007703733358250815
Bedouin,Palestinian,0.10969015802202631
Cappadocia,Palestinian,0.011975865111026817
Chuvash,Palestinian,0.009251564723942543
Crete,Palestinian,0.026182213176270706
Denmark,Palestinian,0.008038291473652193
Dodecanese,Palestinian,0.031143835815993257
Druze,Palestinian,0.09798776359309623
Rumelia,Palestinian,0.019334756378080895
Egypt,Palestinian,0.03487300048679489
Finland,Palestinian,0.007351445038767104
France,Palestinian,0.008142866660944808
Hungary,Palestinian,0.012239733358674959
Ireland,Palestinian,0.00637132465352936
Italy,Palestinian,0.011574328170873985
Libya,Palestinian,0.0159581973317966
Macedonia,Palestinian,0.01658727858762223
Mozabite,Palestinian,0.009864009859095713
North_Morocco,Palestinian,0.010387694237532115
Palestinian,Palestinian,0.1636598478187921
Peloponnese,Palestinian,0.02052778562468918
Russia,Palestinian,0.004673194262958321
Sahara,Palestinian,0.010018816699725151
Sardinia,Palestinian,0.010692947290233814
SE_Laconia,Palestinian,0.002446735547984021
Serbia,Palestinian,0.014236640206115312
Sicily,Palestinian,0.013422051257735117
South_Morocco,Palestinian,0.010387694237532115
Tunisia,Palestinian,0.011247579187509524
Tuscany,Palestinian,0.01084851454016477
Yemenite,Palestinian,0.26451189699419286
Algeria,Peloponnese,0.014548803383909199
Basque,Peloponnese,0.014120887226986284
Bedouin,Peloponnese,0.020405688049435235
Cappadocia,Peloponnese,0.032702441931497114
Chuvash,Peloponnese,0.011011825294069844
Crete,Peloponnese,0.09965531992337133
Denmark,Peloponnese,0.013583099382996825
Dodecanese,Peloponnese,0.06484537262002774
Druze,Peloponnese,0.021270216865698025
Rumelia,Peloponnese,0.0532278225940387
Egypt,Peloponnese,0.02158740581871056
Finland,Peloponnese,0.01045045637325772
France,Peloponnese,0.01536541034943587
Hungary,Peloponnese,0.027122359336078563
Ireland,Peloponnese,0.010409755979186787
Italy,Peloponnese,0.030078603813354338
Libya,Peloponnese,0.02452800498926322
Macedonia,Peloponnese,0.0636591068468809
Mozabite,Peloponnese,0.020781957048284054
North_Morocco,Peloponnese,0.008018857634748192
